Date,Event,Actual,Forecast,Previous
sep02.2008,US ISM Manufacturing PMI,49.9,49.9,50.0
sep03.2008,US Factory Orders m/m,1.3%,1.0%,2.1%
sep04.2008,US ISM Services PMI,50.6,49.4,49.5
sep04.2008,US Distillate Inventories,-0.4M,1.0M,0.1M
sep04.2008,US Gasoline Inventories,-1.0M,-1.3M,-1.2M
sep04.2008,US Natural Gas Storage,90B,88B,102B
sep04.2008,US Crude Oil Inventories,-1.9M,0.0M,-0.1M
sep05.2008,CA Employment Change,15.2K,9.0K,-55.2K
sep05.2008,CA Unemployment Rate,6.1%,6.2%,6.1%
sep05.2008,US Average Hourly Earnings m/m,0.4%,0.3%,0.4%
sep05.2008,US Non-Farm Employment Change,-84K,-73K,-60K
sep05.2008,US Unemployment Rate,6.1%,5.7%,5.7%
sep10.2008,US Crude Oil Inventories,-5.9M,-4.6M,-1.9M
sep10.2008,US Distillate Inventories,-1.3M,-2.1M,-0.4M
sep10.2008,US Gasoline Inventories,-6.5M,-4.5M,-1.0M
sep11.2008,US Trade Balance,-62.2B,-58.0B,-58.8B
sep11.2008,US Natural Gas Storage,58B,56B,90B
sep12.2008,US Retail Sales m/m,-0.3%,0.2%,-0.5%
sep15.2008,US Capacity Utilization Rate,78.7%,79.6%,79.7%
sep15.2008,US Industrial Production m/m,-1.1%,-0.3%,0.1%
sep16.2008,US Core CPI m/m,0.2%,0.2%,0.3%
sep16.2008,US CPI m/m,-0.1%,0.0%,0.8%
sep17.2008,US Crude Oil Inventories,-6.3M,-4.3M,-5.9M
sep17.2008,US Distillate Inventories,-0.8M,-1.9M,-1.3M
sep17.2008,US Gasoline Inventories,-3.3M,-3.5M,-6.5M
sep18.2008,US Natural Gas Storage,67B,61B,58B
sep24.2008,US Crude Oil Inventories,-1.5M,-2.0M,-6.3M
sep24.2008,US Distillate Inventories,-4.2M,-1.5M,-0.8M
sep24.2008,US Gasoline Inventories,-5.9M,-3.6M,-3.3M
sep25.2008,US Natural Gas Storage,51B,62B,67B
sep29.2008,EZ Consumer Confidence,-19,-19,-19
oct01.2008,US ISM Manufacturing PMI,43.5,49.5,49.9
oct01.2008,US Crude Oil Inventories,4.3M,1.8M,-1.5M
oct01.2008,US Distillate Inventories,-2.4M,-1.6M,-4.2M
oct01.2008,US Gasoline Inventories,0.9M,-2.1M,-5.9M
oct02.2008,US Factory Orders m/m,-4.0%,-2.6%,0.7%
oct02.2008,US Natural Gas Storage,87B,75B,51B
oct03.2008,US Average Hourly Earnings m/m,0.2%,0.3%,0.4%
oct03.2008,US Non-Farm Employment Change,-159K,-100K,-73K
oct03.2008,US Unemployment Rate,6.1%,6.1%,6.1%
oct03.2008,US ISM Services PMI,50.2,50.0,50.6
oct08.2008,US Crude Oil Inventories,8.1M,2.0M,4.3M
oct08.2008,US Distillate Inventories,-0.5M,-0.9M,-2.4M
oct08.2008,US Gasoline Inventories,7.2M,1.5M,0.9M
oct09.2008,US Natural Gas Storage,88B,86B,87B
oct10.2008,CA Employment Change,106.9K,11.0K,15.2K
oct10.2008,CA Unemployment Rate,6.1%,6.2%,6.1%
oct10.2008,US Trade Balance,-59.1B,-59.5B,-61.3B
oct15.2008,US Retail Sales m/m,-1.2%,-0.6%,-0.4%
oct16.2008,US Core CPI m/m,0.1%,0.2%,0.2%
oct16.2008,US CPI m/m,0.0%,0.1%,-0.1%
oct16.2008,US Capacity Utilization Rate,76.4%,78.0%,78.7%
oct16.2008,US Industrial Production m/m,-2.8%,-0.7%,-1.0%
oct16.2008,US Distillate Inventories,-0.5M,0.5M,-0.5M
oct16.2008,US Gasoline Inventories,7.0M,1.5M,7.2M
oct16.2008,US Natural Gas Storage,79B,82B,88B
oct16.2008,US Crude Oil Inventories,5.6M,2.0M,8.1M
oct29.2008,US Crude Oil Inventories,0.5M,1.4M,3.2M
oct29.2008,US Distillate Inventories,2.3M,1.1M,2.2M
oct29.2008,US Gasoline Inventories,-1.5M,1.5M,2.7M
oct30.2008,EZ Consumer Confidence,-24,-21,-19
oct30.2008,US Advance GDP q/q,-0.3%,-0.5%,2.8%
oct30.2008,US Natural Gas Storage,46B,41B,70B
nov03.2008,US ISM Manufacturing PMI,38.9,41.6,43.5
nov04.2008,US Factory Orders m/m,-2.5%,-1.0%,-4.3%
nov05.2008,US ISM Services PMI,44.4,47.3,50.2
nov05.2008,US Crude Oil Inventories,0.0M,1.1M,0.5M
nov05.2008,US Distillate Inventories,1.2M,1.6M,2.3M
nov05.2008,US Gasoline Inventories,1.1M,-0.7M,-1.5M
nov06.2008,US Natural Gas Storage,12B,25B,46B
nov07.2008,CA Employment Change,9.5K,-10.0K,106.9K
nov07.2008,CA Unemployment Rate,6.2%,6.2%,6.1%
nov07.2008,US Average Hourly Earnings m/m,0.2%,0.2%,0.2%
nov07.2008,US Non-Farm Employment Change,-240K,-200K,-284K
nov07.2008,US Unemployment Rate,6.5%,6.3%,6.1%
nov13.2008,US Trade Balance,-56.5B,-56.5B,-59.1B
nov13.2008,US Crude Oil Inventories,0.0M,1.0M,0.0M
nov13.2008,US Distillate Inventories,0.5M,0.9M,1.2M
nov13.2008,US Gasoline Inventories,2.0M,0.1M,1.1M
nov14.2008,US Retail Sales m/m,-2.8%,-2.0%,-1.3%
nov14.2008,US Natural Gas Storage,62B,45B,12B
nov17.2008,US Capacity Utilization Rate,76.4%,76.4%,75.5%
nov17.2008,US Industrial Production m/m,1.3%,0.1%,-3.7%
nov19.2008,US Core CPI m/m,-0.1%,0.1%,0.1%
nov19.2008,US CPI m/m,-1.0%,-0.8%,0.0%
nov19.2008,US Crude Oil Inventories,1.6M,0.9M,0.0M
nov19.2008,US Distillate Inventories,-1.5M,0.7M,0.5M
nov19.2008,US Gasoline Inventories,0.5M,0.0M,2.0M
nov20.2008,US Natural Gas Storage,16B,-1B,62B
nov26.2008,US Crude Oil Inventories,7.3M,0.7M,1.6M
nov26.2008,US Distillate Inventories,-0.2M,0.0M,-1.5M
nov26.2008,US Gasoline Inventories,1.8M,0.5M,0.5M
nov26.2008,US Natural Gas Storage,-66B,-44B,16B
nov27.2008,EZ Consumer Confidence,-25,-25,-24
dec01.2008,US ISM Manufacturing PMI,36.2,37.2,38.9
dec03.2008,US ISM Services PMI,37.3,42.5,44.4
dec03.2008,US Crude Oil Inventories,-0.4M,1.8M,7.3M
dec03.2008,US Distillate Inventories,-1.7M,0.7M,-0.2M
dec03.2008,US Gasoline Inventories,-1.5M,1.0M,1.8M
dec04.2008,US Factory Orders m/m,-5.1%,-4.0%,-3.1%
dec04.2008,US Natural Gas Storage,-64B,-69B,-66B
dec05.2008,CA Employment Change,-70.6K,-21.0K,9.5K
dec05.2008,CA Unemployment Rate,6.3%,6.4%,6.2%
dec05.2008,US Average Hourly Earnings m/m,0.4%,0.2%,0.3%
dec05.2008,US Non-Farm Employment Change,-533K,-320K,-320K
dec05.2008,US Unemployment Rate,6.7%,6.8%,6.5%
dec10.2008,US Crude Oil Inventories,0.4M,1.0M,-0.4M
dec10.2008,US Distillate Inventories,5.6M,-1.4M,-1.7M
dec10.2008,US Gasoline Inventories,3.7M,-0.4M,-1.5M
dec11.2008,US Trade Balance,-57.2B,-53.5B,-56.6B
dec11.2008,US Natural Gas Storage,-67B,-83B,-64B
dec12.2008,US Retail Sales m/m,-1.8%,-1.9%,-2.9%
dec15.2008,US Capacity Utilization Rate,75.4%,75.5%,76.0%
dec15.2008,US Industrial Production m/m,-0.6%,-0.7%,1.5%
dec16.2008,US Core CPI m/m,0.0%,0.1%,-0.1%
dec16.2008,US CPI m/m,-1.7%,-1.2%,-1.0%
dec17.2008,US Crude Oil Inventories,0.5M,0.3M,0.4M
dec17.2008,US Distillate Inventories,2.9M,1.5M,5.6M
dec17.2008,US Gasoline Inventories,1.3M,1.3M,3.7M
dec18.2008,US Natural Gas Storage,-124B,-112B,-67B
dec24.2008,US Crude Oil Inventories,-3.1M,0.4M,0.5M
dec24.2008,US Distillate Inventories,1.8M,0.7M,2.9M
dec24.2008,US Gasoline Inventories,3.3M,0.8M,1.3M
dec24.2008,US Natural Gas Storage,-147B,-139B,-124B
dec31.2008,US Crude Oil Inventories,0.5M,-1.4M,-3.1M
dec31.2008,US Distillate Inventories,0.7M,1.5M,1.8M
dec31.2008,US Gasoline Inventories,0.8M,1.7M,3.3M
dec31.2008,US Natural Gas Storage,-143B,-151B,-147B
jan02.2009,US ISM Manufacturing PMI,32.4,35.5,36.2
jan06.2009,US Factory Orders m/m,-4.6%,-2.5%,-6.0%
jan06.2009,US ISM Services PMI,40.6,36.9,37.3
jan07.2009,US Crude Oil Inventories,6.7M,0.7M,0.5M
jan07.2009,US Distillate Inventories,1.8M,1.1M,0.7M
jan07.2009,US Gasoline Inventories,3.3M,1.0M,0.8M
jan08.2009,EZ Consumer Confidence,-30,-26,-25
jan08.2009,US Natural Gas Storage,-47B,-78B,-143B
jan09.2009,CA Employment Change,-34.4K,-21.0K,-70.6K
jan09.2009,CA Unemployment Rate,6.6%,6.5%,6.3%
jan09.2009,US Average Hourly Earnings m/m,0.3%,0.2%,0.4%
jan09.2009,US Non-Farm Employment Change,-524K,-520K,-584K
jan09.2009,US Unemployment Rate,7.2%,7.0%,6.7%
jan13.2009,US Trade Balance,-40.4B,-51.4B,-56.7B
jan14.2009,US Retail Sales m/m,-2.7%,-1.2%,-2.1%
jan14.2009,US Crude Oil Inventories,1.2M,2.1M,6.7M
jan14.2009,US Distillate Inventories,6.3M,1.1M,1.8M
jan14.2009,US Gasoline Inventories,2.1M,1.9M,3.3M
jan15.2009,US Natural Gas Storage,-94B,-105B,-47B
jan16.2009,US Core CPI m/m,0.0%,0.1%,0.0%
jan16.2009,US CPI m/m,-0.7%,-0.8%,-1.7%
jan16.2009,US Capacity Utilization Rate,73.6%,74.6%,75.2%
jan16.2009,US Industrial Production m/m,-2.0%,-0.9%,-1.3%
jan22.2009,US Distillate Inventories,0.8M,0.5M,6.3M
jan22.2009,US Gasoline Inventories,6.5M,1.8M,2.1M
jan22.2009,US Crude Oil Inventories,6.1M,1.1M,1.2M
jan23.2009,US Natural Gas Storage,-176B,-174B,-94B
jan28.2009,US Crude Oil Inventories,6.2M,2.8M,6.1M
jan28.2009,US Distillate Inventories,-1.0M,-1.0M,0.8M
jan28.2009,US Gasoline Inventories,-0.1M,2.0M,6.5M
jan29.2009,EZ Consumer Confidence,-31,-31,-30
jan29.2009,US Natural Gas Storage,-186B,-180B,-176B
jan30.2009,US Advance GDP q/q,-3.8%,-5.4%,-0.5%
feb02.2009,US ISM Manufacturing PMI,35.6,32.4,32.4
feb04.2009,US ISM Services PMI,42.9,39.1,40.6
feb04.2009,US Crude Oil Inventories,7.2M,2.8M,6.2M
feb04.2009,US Distillate Inventories,-1.4M,-1.4M,-1.0M
feb04.2009,US Gasoline Inventories,0.4M,0.8M,-0.1M
feb05.2009,US Factory Orders m/m,-3.9%,-3.1%,-6.5%
feb05.2009,US Natural Gas Storage,-195B,-190B,-186B
feb06.2009,CA Employment Change,-129.0K,-40.0K,-34.4K
feb06.2009,CA Unemployment Rate,7.2%,6.8%,6.6%
feb06.2009,US Average Hourly Earnings m/m,0.3%,0.2%,0.4%
feb06.2009,US Non-Farm Employment Change,-598K,-530K,-577K
feb06.2009,US Unemployment Rate,7.6%,7.5%,7.2%
feb11.2009,US Trade Balance,-39.9B,-37.0B,-41.6B
feb11.2009,US Crude Oil Inventories,4.7M,3.1M,7.2M
feb11.2009,US Distillate Inventories,-1.0M,-1.5M,-1.4M
feb11.2009,US Gasoline Inventories,-2.7M,0.5M,0.4M
feb12.2009,US Retail Sales m/m,1.0%,-0.8%,-3.0%
feb12.2009,US Natural Gas Storage,-159B,-166B,-195B
feb18.2009,US Capacity Utilization Rate,72.0%,72.5%,73.3%
feb18.2009,US Industrial Production m/m,-1.8%,-1.4%,-2.4%
feb19.2009,US Natural Gas Storage,-24B,-49B,-159B
feb19.2009,US Crude Oil Inventories,-0.2M,2.9M,4.7M
feb19.2009,US Distillate Inventories,-0.8M,-1.5M,-1.0M
feb19.2009,US Gasoline Inventories,1.1M,-0.5M,-2.7M
feb20.2009,US Core CPI m/m,0.2%,0.1%,0.0%
feb20.2009,US CPI m/m,0.3%,0.2%,-0.7%
feb25.2009,US Crude Oil Inventories,0.7M,0.9M,-0.2M
feb25.2009,US Distillate Inventories,0.9M,-1.2M,-0.8M
feb25.2009,US Gasoline Inventories,-3.3M,0.0M,1.1M
feb26.2009,EZ Consumer Confidence,-33,-31,-31
feb26.2009,US Natural Gas Storage,-101B,-98B,-24B
mar02.2009,US ISM Manufacturing PMI,35.8,34.0,35.6
mar04.2009,US ISM Services PMI,41.6,41.2,42.9
mar04.2009,US Crude Oil Inventories,-0.7M,1.0M,0.7M
mar04.2009,US Distillate Inventories,1.7M,-1.0M,0.9M
mar04.2009,US Gasoline Inventories,0.2M,-0.8M,-3.3M
mar05.2009,US Factory Orders m/m,-1.9%,-3.5%,-4.9%
mar05.2009,US Natural Gas Storage,-102B,-95B,-101B
mar06.2009,US Average Hourly Earnings m/m,0.2%,0.3%,0.2%
mar06.2009,US Non-Farm Employment Change,-651K,-647K,-655K
mar06.2009,US Unemployment Rate,8.1%,7.9%,7.6%
mar11.2009,US Crude Oil Inventories,0.7M,0.1M,-0.7M
mar11.2009,US Distillate Inventories,2.1M,0.2M,1.7M
mar11.2009,US Gasoline Inventories,-3.0M,-1.0M,0.2M
mar12.2009,US Retail Sales m/m,-0.1%,-0.5%,1.8%
mar12.2009,US Natural Gas Storage,-112B,-104B,-102B
mar13.2009,CA Employment Change,-82.6K,-50.5K,-129.0K
mar13.2009,CA Unemployment Rate,7.7%,7.4%,7.2%
mar13.2009,US Trade Balance,-36.0B,-38.3B,-39.9B
mar16.2009,US Capacity Utilization Rate,70.9%,71.1%,71.9%
mar16.2009,US Industrial Production m/m,-1.4%,-1.2%,-1.9%
mar18.2009,US Core CPI m/m,0.2%,0.1%,0.2%
mar18.2009,US CPI m/m,0.4%,0.3%,0.3%
mar18.2009,US Crude Oil Inventories,2.0M,1.2M,0.7M
mar18.2009,US Distillate Inventories,0.1M,1.1M,2.1M
mar18.2009,US Gasoline Inventories,3.2M,-1.4M,-3.0M
mar19.2009,US Natural Gas Storage,-30B,-26B,-112B
mar25.2009,US Crude Oil Inventories,3.3M,1.2M,2.0M
mar25.2009,US Distillate Inventories,-1.6M,-0.1M,0.1M
mar25.2009,US Gasoline Inventories,-1.1M,-0.7M,3.2M
mar26.2009,US Natural Gas Storage,3B,-10B,-30B
mar30.2009,EZ Consumer Confidence,-34,-33,-33
apr01.2009,US ISM Manufacturing PMI,36.3,35.8,35.8
apr01.2009,US Crude Oil Inventories,2.8M,3.1M,3.3M
apr01.2009,US Distillate Inventories,0.2M,-1.2M,-1.6M
apr01.2009,US Gasoline Inventories,2.2M,-1.5M,-1.1M
apr02.2009,US Factory Orders m/m,1.8%,1.5%,-3.5%
apr02.2009,US Natural Gas Storage,0B,-1B,3B
apr03.2009,US Average Hourly Earnings m/m,0.2%,0.2%,0.2%
apr03.2009,US Non-Farm Employment Change,-663K,-659K,-651K
apr03.2009,US Unemployment Rate,8.5%,8.5%,8.1%
apr03.2009,US ISM Services PMI,40.8,41.9,41.6
apr08.2009,US Crude Oil Inventories,1.7M,1.6M,2.8M
apr08.2009,US Distillate Inventories,-3.4M,-0.6M,0.2M
apr08.2009,US Gasoline Inventories,0.7M,-1.3M,2.2M
apr09.2009,CA Employment Change,-61.3K,-50.2K,-82.6K
apr09.2009,CA Unemployment Rate,8.0%,8.0%,7.7%
apr09.2009,US Trade Balance,-26.0B,-36.6B,-36.2B
apr09.2009,US Natural Gas Storage,20B,12B,0B
apr14.2009,US Retail Sales m/m,-1.1%,0.3%,0.3%
apr15.2009,US Core CPI m/m,0.2%,0.1%,0.2%
apr15.2009,US CPI m/m,-0.1%,0.1%,0.4%
apr15.2009,US Capacity Utilization Rate,69.3%,69.7%,70.3%
apr15.2009,US Industrial Production m/m,-1.5%,-0.9%,-1.5%
apr15.2009,US Crude Oil Inventories,5.6M,2.0M,1.7M
apr15.2009,US Distillate Inventories,-1.2M,-1.0M,-3.4M
apr15.2009,US Gasoline Inventories,-0.9M,-0.5M,0.7M
apr16.2009,US Natural Gas Storage,21B,18B,20B
apr22.2009,US Crude Oil Inventories,3.9M,2.3M,5.6M
apr22.2009,US Distillate Inventories,2.7M,-1.0M,-1.2M
apr22.2009,US Gasoline Inventories,0.8M,-0.7M,-0.9M
apr23.2009,US Natural Gas Storage,46B,40B,21B
apr29.2009,EZ Consumer Confidence,-31,-33,-34
apr29.2009,US Advance GDP q/q,-6.1%,-4.8%,-6.3%
apr29.2009,US Crude Oil Inventories,4.1M,1.8M,3.9M
apr29.2009,US Distillate Inventories,1.8M,1.0M,2.7M
apr29.2009,US Gasoline Inventories,-4.7M,0.2M,0.8M
apr30.2009,US Natural Gas Storage,82B,82B,46B
may01.2009,US Factory Orders m/m,-0.9%,-0.7%,0.7%
may01.2009,US ISM Manufacturing PMI,40.1,38.4,36.3
may05.2009,US ISM Services PMI,43.7,42.5,40.8
may06.2009,US Crude Oil Inventories,0.6M,2.4M,4.1M
may06.2009,US Distillate Inventories,2.4M,0.9M,1.8M
may06.2009,US Gasoline Inventories,-0.2M,0.5M,-4.7M
may07.2009,US Natural Gas Storage,95B,94B,82B
may08.2009,CA Employment Change,35.9K,-48.5K,-61.3K
may08.2009,CA Unemployment Rate,8.0%,8.3%,8.0%
may08.2009,US Average Hourly Earnings m/m,0.1%,0.2%,0.2%
may08.2009,US Non-Farm Employment Change,-539K,-590K,-699K
may08.2009,US Unemployment Rate,8.9%,8.9%,8.5%
may12.2009,US Trade Balance,-27.6B,-29.2B,-26.1B
may13.2009,US Retail Sales m/m,-0.4%,0.0%,-1.3%
may13.2009,US Crude Oil Inventories,-4.7M,1.1M,0.6M
may13.2009,US Distillate Inventories,0.9M,1.3M,2.4M
may13.2009,US Gasoline Inventories,-4.2M,0.0M,-0.2M
may14.2009,US Natural Gas Storage,95B,100B,95B
may15.2009,US Core CPI m/m,0.3%,0.1%,0.2%
may15.2009,US CPI m/m,0.0%,0.0%,-0.1%
may15.2009,US Capacity Utilization Rate,69.1%,68.9%,69.4%
may15.2009,US Industrial Production m/m,-0.5%,-0.5%,-1.7%
may20.2009,US Crude Oil Inventories,-2.1M,-1.3M,-4.7M
may20.2009,US Distillate Inventories,0.7M,1.2M,0.9M
may20.2009,US Gasoline Inventories,-4.3M,-1.2M,-4.2M
may21.2009,US Natural Gas Storage,103B,95B,95B
may28.2009,EZ Consumer Confidence,-31,-30,-31
may28.2009,US Natural Gas Storage,106B,114B,103B
may28.2009,US Crude Oil Inventories,-5.4M,-0.1M,-2.1M
may28.2009,US Distillate Inventories,0.2M,1.0M,0.7M
may28.2009,US Gasoline Inventories,-0.5M,-1.3M,-4.3M
jun01.2009,US ISM Manufacturing PMI,42.8,42.2,40.1
jun03.2009,US Factory Orders m/m,0.7%,0.9%,-1.9%
jun03.2009,US ISM Services PMI,44.0,45.1,43.7
jun03.2009,US Crude Oil Inventories,2.9M,-1.6M,-5.4M
jun03.2009,US Distillate Inventories,1.7M,0.9M,0.2M
jun03.2009,US Gasoline Inventories,-0.2M,0.6M,-0.5M
jun04.2009,US Natural Gas Storage,124B,116B,106B
jun05.2009,CA Employment Change,-41.8K,-36.4K,35.9K
jun05.2009,CA Unemployment Rate,8.4%,8.2%,8.0%
jun05.2009,US Average Hourly Earnings m/m,0.1%,0.2%,0.1%
jun05.2009,US Non-Farm Employment Change,-345K,-520K,-504K
jun05.2009,US Unemployment Rate,9.4%,9.2%,8.9%
jun10.2009,US Trade Balance,-29.2B,-28.8B,-28.5B
jun10.2009,US Crude Oil Inventories,-4.4M,0.1M,2.9M
jun10.2009,US Distillate Inventories,-0.3M,1.4M,1.7M
jun10.2009,US Gasoline Inventories,-1.6M,0.8M,-0.2M
jun11.2009,US Retail Sales m/m,0.5%,0.4%,-0.2%
jun11.2009,US Natural Gas Storage,106B,110B,124B
jun16.2009,US Capacity Utilization Rate,68.3%,68.5%,69.0%
jun16.2009,US Industrial Production m/m,-1.1%,-0.7%,-0.7%
jun17.2009,US Core CPI m/m,0.1%,0.1%,0.3%
jun17.2009,US CPI m/m,0.1%,0.3%,0.0%
jun17.2009,US Crude Oil Inventories,-3.9M,-1.8M,-4.4M
jun17.2009,US Distillate Inventories,0.3M,0.9M,-0.3M
jun17.2009,US Gasoline Inventories,3.4M,0.5M,-1.6M
jun18.2009,US Natural Gas Storage,114B,104B,106B
jun24.2009,US Crude Oil Inventories,-3.8M,-1.1M,-3.9M
jun24.2009,US Distillate Inventories,2.1M,0.9M,0.3M
jun24.2009,US Gasoline Inventories,3.9M,0.5M,3.4M
jun25.2009,US Natural Gas Storage,94B,101B,114B
jun29.2009,EZ Consumer Confidence,-25,-29,-28
jul01.2009,US ISM Manufacturing PMI,44.8,44.5,42.8
jul01.2009,US Crude Oil Inventories,-3.7M,-1.8M,-3.8M
jul01.2009,US Distillate Inventories,2.9M,1.5M,2.1M
jul01.2009,US Gasoline Inventories,2.3M,2.0M,3.9M
jul02.2009,US Average Hourly Earnings m/m,0.0%,0.2%,0.2%
jul02.2009,US Non-Farm Employment Change,-467K,-360K,-322K
jul02.2009,US Unemployment Rate,9.5%,9.6%,9.4%
jul02.2009,US Factory Orders m/m,1.2%,0.7%,0.5%
jul02.2009,US Natural Gas Storage,70B,74B,94B
jul06.2009,US ISM Services PMI,47.0,45.9,44.0
jul08.2009,US Crude Oil Inventories,-2.9M,-2.8M,-3.7M
jul08.2009,US Distillate Inventories,3.7M,1.8M,2.9M
jul08.2009,US Gasoline Inventories,1.9M,0.9M,2.3M
jul09.2009,US Natural Gas Storage,75B,85B,70B
jul10.2009,CA Employment Change,-7.4K,-34.6K,-41.8K
jul10.2009,CA Unemployment Rate,8.6%,8.7%,8.4%
jul10.2009,US Trade Balance,-26.0B,-30.0B,-28.8B
jul14.2009,US Retail Sales m/m,0.6%,0.4%,0.5%
jul15.2009,US Core CPI m/m,0.2%,0.2%,0.1%
jul15.2009,US CPI m/m,0.7%,0.6%,0.1%
jul15.2009,US Capacity Utilization Rate,68.0%,67.8%,68.2%
jul15.2009,US Industrial Production m/m,-0.4%,-0.6%,-1.2%
jul15.2009,US Crude Oil Inventories,-2.8M,-1.9M,-2.9M
jul15.2009,US Distillate Inventories,0.6M,2.0M,3.7M
jul15.2009,US Gasoline Inventories,1.4M,0.9M,1.9M
jul16.2009,US Natural Gas Storage,90B,93B,75B
jul22.2009,US Crude Oil Inventories,-1.8M,-1.9M,-2.8M
jul22.2009,US Distillate Inventories,1.2M,1.5M,0.6M
jul22.2009,US Gasoline Inventories,0.8M,0.6M,1.4M
jul23.2009,US Natural Gas Storage,66B,63B,90B
jul29.2009,US Crude Oil Inventories,5.1M,-1.1M,-1.8M
jul29.2009,US Distillate Inventories,2.1M,1.0M,1.2M
jul29.2009,US Gasoline Inventories,-2.3M,0.0M,0.8M
jul30.2009,EZ Consumer Confidence,-23,-24,-25
jul30.2009,US Natural Gas Storage,71B,71B,66B
jul31.2009,US Advance GDP q/q,-1.0%,-1.4%,-5.5%
aug03.2009,US ISM Manufacturing PMI,48.9,46.4,44.8
aug05.2009,US Factory Orders m/m,0.4%,-0.7%,1.1%
aug05.2009,US ISM Services PMI,46.4,48.1,47.0
aug05.2009,US Crude Oil Inventories,1.7M,0.9M,5.1M
aug05.2009,US Distillate Inventories,-1.1M,1.2M,2.1M
aug05.2009,US Gasoline Inventories,-0.2M,-0.8M,-2.3M
aug06.2009,US Natural Gas Storage,66B,60B,71B
aug07.2009,CA Employment Change,-44.5K,-19.0K,-7.4K
aug07.2009,CA Unemployment Rate,8.6%,8.8%,8.6%
aug07.2009,US Average Hourly Earnings m/m,0.2%,0.1%,0.0%
aug07.2009,US Non-Farm Employment Change,-247K,-320K,-443K
aug07.2009,US Unemployment Rate,9.4%,9.6%,9.5%
aug12.2009,US Trade Balance,-27.0B,-28.4B,-26.0B
aug12.2009,US Crude Oil Inventories,2.5M,0.7M,1.7M
aug12.2009,US Distillate Inventories,0.8M,0.2M,-1.1M
aug12.2009,US Gasoline Inventories,-0.9M,-1.2M,-0.2M
aug13.2009,US Retail Sales m/m,-0.1%,0.8%,0.8%
aug13.2009,US Natural Gas Storage,63B,71B,66B
aug14.2009,US Core CPI m/m,0.1%,0.1%,0.2%
aug14.2009,US CPI m/m,0.0%,0.0%,0.7%
aug14.2009,US Capacity Utilization Rate,68.5%,68.2%,68.1%
aug14.2009,US Industrial Production m/m,0.5%,0.4%,-0.4%
aug19.2009,US Crude Oil Inventories,-8.4M,1.1M,2.5M
aug19.2009,US Distillate Inventories,-0.7M,0.7M,0.8M
aug19.2009,US Gasoline Inventories,-1.7M,-0.8M,-0.9M
aug20.2009,US Natural Gas Storage,52B,57B,63B
aug26.2009,US Crude Oil Inventories,0.2M,-1.5M,-8.4M
aug26.2009,US Distillate Inventories,0.8M,0.4M,-0.7M
aug26.2009,US Gasoline Inventories,-1.7M,-0.8M,-1.7M
aug27.2009,US Natural Gas Storage,54B,53B,52B
aug28.2009,EZ Consumer Confidence,-22,-21,-23
sep01.2009,US ISM Manufacturing PMI,52.9,50.6,48.9
sep02.2009,US Factory Orders m/m,1.3%,2.3%,0.9%
sep02.2009,US Crude Oil Inventories,-0.4M,-0.8M,0.2M
sep02.2009,US Distillate Inventories,1.2M,0.7M,0.8M
sep02.2009,US Gasoline Inventories,-3.0M,-0.9M,-1.7M
sep03.2009,US ISM Services PMI,48.4,48.3,46.4
sep03.2009,US Natural Gas Storage,65B,67B,54B
sep04.2009,CA Employment Change,27.1K,-12.4K,-44.5K
sep04.2009,CA Unemployment Rate,8.7%,8.7%,8.6%
sep04.2009,US Average Hourly Earnings m/m,0.3%,0.1%,0.3%
sep04.2009,US Non-Farm Employment Change,-216K,-223K,-276K
sep04.2009,US Unemployment Rate,9.7%,9.5%,9.4%
sep10.2009,US Trade Balance,-32.0B,-27.1B,-27.5B
sep10.2009,US Natural Gas Storage,69B,77B,65B
sep10.2009,US Crude Oil Inventories,-5.9M,-1.5M,-0.4M
sep10.2009,US Distillate Inventories,2.0M,1.0M,1.2M
sep10.2009,US Gasoline Inventories,2.1M,-1.5M,-3.0M
sep15.2009,US Retail Sales m/m,2.7%,1.9%,-0.2%
sep16.2009,US Core CPI m/m,0.1%,0.1%,0.1%
sep16.2009,US CPI m/m,0.4%,0.3%,0.0%
sep16.2009,US Capacity Utilization Rate,69.6%,69.1%,69.0%
sep16.2009,US Industrial Production m/m,0.8%,0.7%,1.0%
sep16.2009,US Crude Oil Inventories,-4.7M,-2.6M,-5.9M
sep16.2009,US Distillate Inventories,2.2M,1.3M,2.0M
sep16.2009,US Gasoline Inventories,0.5M,0.7M,2.1M
sep17.2009,US Natural Gas Storage,66B,74B,69B
sep23.2009,US Crude Oil Inventories,2.8M,-1.4M,-4.7M
sep23.2009,US Distillate Inventories,3.0M,1.4M,2.2M
sep23.2009,US Gasoline Inventories,5.4M,0.5M,0.5M
sep24.2009,US Natural Gas Storage,67B,73B,66B
sep29.2009,EZ Consumer Confidence,-19,-21,-22
sep30.2009,US Crude Oil Inventories,2.8M,0.5M,2.8M
sep30.2009,US Distillate Inventories,0.3M,1.2M,3.0M
sep30.2009,US Gasoline Inventories,-1.7M,1.1M,5.4M
oct01.2009,US ISM Manufacturing PMI,52.6,53.9,52.9
oct01.2009,US Natural Gas Storage,64B,62B,67B
oct02.2009,US Average Hourly Earnings m/m,0.1%,0.2%,0.4%
oct02.2009,US Non-Farm Employment Change,-263K,-179K,-201K
oct02.2009,US Unemployment Rate,9.8%,9.8%,9.7%
